"expiry","strike","option_type","price","bid","ask"
"2026-08-14","5000","call","2469.45","2465.5","2473.4"
"2026-08-14","6000","call","1470.85","1467","1474.7"
"2026-08-14","6400","call","1073.15","1069.3","1077"
"2026-08-14","6600","call","873.6","869.7","877.5"
"2026-08-14","6650","call","823.7","819.9","827.5"
"2026-08-14","6700","call","774","770.1","777.9"
"2026-08-14","6750","call","725.3","721.4","729.2"
"2026-08-14","6800","call","675.5","671.6","679.4"
"2026-08-14","6850","call","626.55","622.6","630.5"
"2026-08-14","6875","call","602.25","598.4","606.1"
"2026-08-14","6900","call","577.65","573.8","581.5"
"2026-08-14","6950","call","528.3","524.4","532.2"
"2026-08-14","6970","call","509.45","505.6","513.3"
"2026-08-14","6975","call","503.95000000000005","500.1","507.8"
"2026-08-14","6990","call","489.85","486","493.7"
"2026-08-14","7000","call","479.54999999999995","475.7","483.4"
"2026-08-14","7010","call","470.20000000000005","466.3","474.1"
"2026-08-14","7025","call","456.04999999999995","452.2","459.9"
"2026-08-14","7050","call","431.79999999999995","427.9","435.7"
"2026-08-14","7060","call","422.1","418.2","426"
"2026-08-14","7070","call","412.6","408.7","416.5"
"2026-08-14","7075","call","382.79999999999995","379.2","386.4"
"2026-08-14","7090","call","394.45000000000005","390.6","398.3"
"2026-08-14","7100","call","384.35","380.5","388.2"
"2026-08-14","7120","call","365.25","361.8","368.7"
"2026-08-14","7125","call","361","357.3","364.7"
"2026-08-14","7130","call","356.20000000000005","352.8","359.6"
"2026-08-14","7140","call","347.5","344","351"
"2026-08-14","7150","call","338.25","334.8","341.7"
"2026-08-14","7160","call","328.8","325.1","332.5"
"2026-08-14","7170","call","320.1","316.4","323.8"
"2026-08-14","7175","call","314.75","311.1","318.4"
"2026-08-14","7190","call","300.85","297.4","304.3"
"2026-08-14","7200","call","292.5","289","296"
"2026-08-14","7225","call","270.25","266.9","273.6"
"2026-08-14","7230","call","264.95","261.7","268.2"
"2026-08-14","7240","call","257","253.7","260.3"
"2026-08-14","7250","call","247.8","244.1","251.5"
"2026-08-14","7260","call","239.25","235.7","242.8"
"2026-08-14","7270","call","230.14999999999998","227.1","233.2"
"2026-08-14","7275","call","226.35000000000002","222.8","229.9"
"2026-08-14","7280","call","221.6","218.5","224.7"
"2026-08-14","7290","call","213.5","210.1","216.9"
"2026-08-14","7295","call","209.75","206.6","212.9"
"2026-08-14","7300","call","205.25","201.8","208.7"
"2026-08-14","7305","call","201.35000000000002","198.9","203.8"
"2026-08-14","7310","call","197.15","196.3","198"
"2026-08-14","7315","call","193","190.6","195.4"
"2026-08-14","7320","call","188.8","186.4","191.2"
"2026-08-14","7325","call","184.9","182.5","187.3"
"2026-08-14","7330","call","180.65","178.3","183"
"2026-08-14","7335","call","176.8","174.4","179.2"
"2026-08-14","7340","call","172.55","170.2","174.9"
"2026-08-14","7345","call","168.8","166.4","171.2"
"2026-08-14","7350","call","164.6","162.2","167"
"2026-08-14","7355","call","160.7","158.3","163.1"
"2026-08-14","7360","call","157.1","154.7","159.5"
"2026-08-14","7365","call","153.3","153","153.6"
"2026-08-14","7370","call","149.35","149","149.7"
